31-10-2023|19:33:12|4|1|11|1|4|0-1-1-2
31-10-2023|19:33:13|4|0|9|1|7|0-2-3-2
31-10-2023|19:33:14|4|0|11|4|3|1-1-1-0
31-10-2023|19:33:15|4|0|8|4|7|3-2-2-0
31-10-2023|19:33:17|4|1|9|3|5|1-2-0-2
31-10-2023|19:33:18|4|1|11|1|4|0-2-1-1
31-10-2023|19:33:29|4|0|8|1|8|0-2-3-3
31-10-2023|19:33:31|4|1|10|2|4|1-0-1-2
31-10-2023|19:38:40|4|1|9|2|7|2-0-2-3
31-10-2023|19:51:49|4|0|10|2|8|2-0-2-4
31-10-2023|19:51:54|4|0|10|1|4|0-2-1-1
01-11-2023|14:48:43|4|0|9|1|9|0-4-2-3
01-11-2023|14:51:07|4|0|10|1|4|0-2-1-1
